,No,page,nick,time,content,area,ip,length,against,agree,channel,hot,level,login_type,media_type,mid
65,66,4,寻找回忆里的你6,2018-08-31 14:28:56,小心啊，又来碰瓷了,天津,223.104.7.8,9,1535696936,6,jc,0,0,0,0,5B88E028-DF680708-138C8D2FE-8F9-8C6
66,67,4,SZ_YLY,2018-08-31 14:27:57,中国应该主动救援，并护送其回国。,广东深圳,27.38.20.222,16,1535696877,5,jc,0,0,0,0,5B88DFED-1B2614DE-6124D697-8F9-8CD
67,68,4,jianfeng411,2018-08-31 14:26:58,搁浅这个套路看起来很好用,广东深圳,117.136.41.126,12,1535696818,8,jc,0,0,0,0,5B88DFAD-7588297E-188611A17-8F9-8CF
68,69,4,TEKKYHUANG,2018-08-31 14:26:42,小心故技重施,广东韶关,183.1.90.224,6,1535696801,0,jc,0,0,0,0,5B88DFA1-B7015AE0-447DFE79-8F9-921
69,70,4,ICE171,2018-08-31 14:26:22,丫要找死，咱就成全丫的！犯我中华者，无论哪路牛鬼蛇神蝇，一律斩杀之，绝不能手软！！！,湖南永州,36.157.128.232,42,1535696782,3,jc,0,0,0,0,5B88DF8D-249D80E8-450731CD-8F9-8C5
70,71,4,用户3650619102,2018-08-31 14:24:48,莫不是故意而为之，一定要警惕重蹈覆辙。,江苏扬州,117.91.56.72,19,1535696688,3,jc,0,0,0,0,5B88DF30-755B3848-D99806DE-8F9-8F8
71,72,4,为梦想领跑2017,2018-08-31 14:24:34,又来这一招,广西南宁,171.104.30.253,5,1535696674,1,jc,0,0,0,0,5B88DF21-AB681EFD-1312E08E0-8F9-874
72,73,4,newssun观海听涛,2018-08-31 14:23:54,这个套路很熟悉,上海,140.207.74.250,7,1535696634,1,jc,0,0,0,0,5B88DEFA-8CCF4AFA-5417451A-8F9-95F
73,74,4,大挹精英,2018-08-31 14:23:46,我来告诉你们菲律宾这样做的真实目的，菲最大的军舰搁浅半月礁，告诉国际社会，我不是故意的，我不会拿我的军舰长期坐滩在这里，但是我军舰毕竟是开到这了，那这个半月礁的归属……,黑龙江双鸭山,122.158.248.126,84,1535696626,5,jc,0,0,0,0,5B88DEF2-7A9EF87E-7553B5E7-8F9-884
74,75,4,风门山,2018-08-31 14:23:10,我们为可以在旁边坐滩上一条船，我们的旧船多的是。,广西南宁,210.36.46.246,24,1535696590,1,jc,0,0,1,0,5B88DECE-D2242EF6-15E711ECE-8F9-985
75,76,4,扬帆起航与你一路同行,2018-08-31 14:22:20,搁浅搁上瘾了[挖鼻屎],广东,117.136.79.44,11,1535696540,0,jc,0,0,0,0,5B88DE9C-75884F2C-6ADCA335-8F9-880
76,77,4,风门山,2018-08-31 14:20:29,明显是有预谋的冲滩，接替将要锈烂的旧船，用一条二手船坐滩太合算了，又可以坚持二三十年了，防不胜防！,广西南宁,210.36.46.246,49,1535696429,8,jc,0,0,1,0,5B88DE2D-D2242EF6-15E711ECE-8F9-8E7
77,78,4,用户133****6333,2018-08-31 14:20:12,话说的有点意思,上海,114.93.251.166,7,1535696412,2,jc,0,0,2,0,5B88DE1C-725DFBA6-59070252DBC0A811-8F9-8EC
78,79,4,春风湖柳,2018-08-31 14:18:36,是不是又要故伎重演啊？,福建福州,61.241.216.142,11,1535696316,8,jc,0,0,0,0,5B88DDBC-3DF1D88E-51B029C2-8F9-A3D
79,80,4,夕阳看海,2018-08-31 14:18:23,可能还真的被说中是坐滩阴谋也不一定呢,江苏苏州,121.238.169.61,18,1535696303,0,jc,0,0,0,0,5B88DDAF-79EEA93D-60E1D297-8F9-916
80,81,5,大挹精英,2018-08-31 14:17:10,明知道那附近都是礁石，还偏向那航行，你敢说不是故意的？,黑龙江双鸭山,122.158.248.126,27,1535696230,192,jc,0,0,0,0,5B88DD66-7A9EF87E-7553B5E7-8F9-8E3
81,82,5,西边日出V,2018-08-31 14:16:43,等涨潮吧[允悲][允悲][允悲],上海,180.158.78.77,16,1535696203,0,jc,0,0,0,0,5B88DD49-B49E4E4D-899D5FD0-8F9-972
82,83,5,用户5593573569,2018-08-31 14:16:41,这个船作为菲律宾最大的军舰菲律宾还是舍不得拿它沉礁的，我们的053护卫舰去年也曾搁浅过，正常事故而已。,广东广州,14.152.69.40,51,1535696201,4,jc,0,0,0,0,5B88DD49-E984528-14D6728C1-8F9-87F
83,84,5,shdshlmwx,2018-08-31 14:15:15,关注！,山东东营,58.57.148.241,3,1535696115,1,jc,0,0,0,0,5B88DCF2-3A3994F1-61E33FB7-8F9-944
84,85,5,SHANGLIANGLEZAIAI,2018-08-31 14:12:53,坐滩？又一钉子户？,广西南宁,116.1.243.209,9,1535695973,2,jc,0,0,0,0,5B88DC64-7401F3D1-6303136F-8F9-8D6
85,86,5,小豆豆的杂货铺,2018-08-31 14:12:44,赶紧的，中国免费帮你拖回家,福建福州,140.243.239.255,13,1535695964,3,jc,0,0,0,0,5B88DC5B-8CF3EFFF-59E2E992-8F9-851
86,87,5,笑看人生888888_96252,2018-08-31 14:11:25,等着，解放军在南海有救援力量，解放军回来救你们的,江苏无锡,49.66.98.240,24,1535695885,14,jc,0,0,0,0,5B88DC0D-314262F0-18DAF2293-8F9-8A5
87,88,5,秋叶随风飘荡,2018-08-31 14:11:20,快速拖走，不走我们去拖。,重庆,222.179.93.26,12,1535695880,8,jc,0,0,0,0,5B88DC08-DEB35D1A-70B7B17A-8F9-915
88,89,5,用户153****0031,2018-08-31 14:10:20,又想来这一招长久搁浅，菲佣喜欢用这样的套路。,浙江杭州,36.23.101.3,22,1535695820,21,jc,0,0,2,0,5B88DBCC-24176503-58E41EA3DE832BFE-8F9-8D2
89,90,5,自信就是牛人,2018-08-31 14:07:48,又来这一套,重庆,123.147.199.132,5,1535695668,4,jc,0,0,0,0,5B88DB33-7B93C784-439BE899-8F9-7E6
90,91,5,用户6307999567,2018-08-31 14:05:24,我兔在南沙有绝对的水文，气象卫星，电磁通讯优势，此为天时，岛礁基本填好，此为地利。南部战区兵强马壮此为人和。最重要的是领袖意志坚定，国家悍卫决心。菲佣玩不了这3000吨的大船，有海图吗？军用那种。听说还想买潜艇，还不知道操的了吗？不要搞个永久坐沉海床贻笑大方了,广西,117.136.98.196,130,1535695524,4,jc,0,0,0,0,5B88DAA4-758862C4-177FC6F4F-8F9-84E
91,92,5,随风飘扬的影子,2018-08-31 14:04:09,各种救援船，各种专家赶紧派过去,北京,106.39.190.63,15,1535695449,2,jc,0,0,0,0,5B88DA59-6A27BE3F-6BB4DA4B-8F9-8C6
92,93,5,理性讲堂,2018-08-31 14:02:56,菲律宾的惯用伎俩,浙江金华,61.130.148.90,8,1535695376,4,jc,0,0,0,0,5B88DA10-3D82945A-9E1D4A19-8F9-8E5
93,94,5,孤独老谢,2018-08-31 14:01:56,如果不是故意，也只能说明这艘菲律宾军舰的军人素质实在不咋地，战时不用敌人一枪一炮自己就先废了自己武功,湖南娄底,175.14.25.189,50,1535695316,4,jc,0,0,0,0,5B88D9D3-AF0E19BD-1311B13FF-8F9-876
94,95,5,小琳102600,2018-08-31 14:01:44,炸沉了它！不能成为外国对中国屡试屡爽的手段，中国应当有原则性，对侵犯中国领海和岛屿的武装舰船，没有任何理让外国任期倒腾，中国海军必须限期拖走，过期不走者必须击沉它！否则这类事件还会再次重演。,四川成都,182.150.132.216,95,1535695304,7,jc,0,0,0,0,5B88D9C7-B69684D8-69D5978D-8F9-8CE
95,96,5,亮U亮,2018-08-31 14:01:32,应该是拖走或炮轰[怒],广东梅州,219.132.130.232,11,1535695292,2,jc,0,0,0,0,5B88D9BB-DB8482E8-4E4117F4-8F9-958
96,97,5,上海淑男,2018-08-31 13:59:23,就目前的国际态势来看，菲律宾不至于敢和中国交战的胆识，他们很清楚一旦开战那么以前的旧账会统统清算，仁爱礁就更别提了，分分秒秒收回。再看看中国大造特造的055为的就是不让南海有关国家碰瓷，相信全世界都会敬畏的。,上海,58.35.141.142,104,1535695163,9,jc,0,0,0,0,5B88D93B-3A238D8E-3FFD7F9A-8F9-7DA
97,98,5,打火机,2018-08-31 13:59:05,直接拖走,广东深圳,113.108.45.101,4,1535695145,2,jc,0,0,0,0,5B88D928-716C2D65-5469EE96-8F9-9D2
98,99,5,飞天茅台811,2018-08-31 13:57:38,挺下本儿呀,山东青岛,112.224.69.160,5,1535695058,2,jc,0,0,0,0,5B88D8CF-70E045A0-179FCAF58-8F9-885
99,100,5,dyftm007,2018-08-31 13:57:13,恩，这个地方滩浅暗礁多，严重威胁了航行安全，我们作为一个负责的大国，有必要在此疏浚航道，建立灯塔航标等设施，以保障来往船只的安全，顺便填个岛，改善一下驻岛工作人员的生活条件，一遍更好地服务来往船只。,江苏常州,222.185.133.99,99,1535695033,11,jc,0,0,0,0,5B88D8B9-DEB98563-6F6644E2-8F9-87F
100,101,6,东晋王氏,2018-08-31 13:56:59,可见对这一带海域不熟悉，充分说明不是菲律宾的地盘。,上海,101.81.252.159,25,1535695019,4,jc,0,0,0,0,5B88D8AA-6551FC9F-75CE3555-8F9-8C9
101,102,6,用户6562119097,2018-08-31 13:56:25,故伎重演，加倍关注。,云南昆明,14.204.88.53,10,1535694985,1,jc,0,0,0,0,5B88D889-ECC5835-18721FDB9-8F9-814
102,103,6,wsyzld品茗_an5,2018-08-31 13:54:05,故伎重演！希望国家要警惕！！,河北廊坊,101.30.69.34,14,1535694845,3,jc,0,0,0,0,5B88D7FD-651E4522-573610EF-8F9-874
103,104,6,我家de大公子,2018-08-31 13:53:50,故技重施？拉倒吧，派渔民去捞回来,广东江门,14.117.99.212,16,1535694830,0,jc,0,0,0,0,5B88D7ED-E7563D4-6C9B253D-8F9-7D1
104,105,6,奋进18云游,2018-08-31 13:53:41,他们救不出来，咱帮他拖出来。不能让他再赖那里了,湖南株洲,119.39.130.109,23,1535694821,0,jc,0,0,0,0,5B88D7E2-7727826D-8C5786C2-8F9-93C
105,106,6,蓝山吴彦祖,2018-08-31 13:53:39,拉回来呗，现什么,广东,223.104.64.133,8,1535694819,0,jc,0,0,0,0,5B88D7E0-DF684085-78A818DF-8F9-923
106,107,6,把酒祝东风--共从容,2018-08-31 13:53:24,又是故意的。和上次一样。,广东深圳,101.105.36.166,12,1535694804,1,jc,0,0,0,0,5B88D7D4-656924A6-55233BDD-8F9-937
107,108,6,songwenbo,2018-08-31 13:52:08,菲佣真是聪明透顶呀，不得不服，这样的招数屡试不爽，真是一本万利，一艘军舰和一个巨大的礁盘，那个价值大，毫无疑问，是后者。,山东青岛,27.223.242.157,60,1535694728,3,jc,0,0,0,0,5B88D788-1BDFF29D-55219DEB-8F9-95A
108,109,6,用户6320992647,2018-08-31 13:51:50,又跑来挑事，耍赖拖延就地扣押，择日拍卖，这就是今后南海的行为准则。,北京海淀,124.205.171.130,33,1535694710,2,jc,0,0,0,0,5B88D776-7CCDAB82-178C2B187-8F9-8E5
109,110,6,画画算算再出门,2018-08-31 13:49:43,中国派出工程队救援，现场安装吊机，红十字救助站，生活设施。。。。终于救出菲律宾军舰。。。。。可惜，自身搁浅就没有人救得来。。。除非。。派出更多救助设施,福建厦门,183.253.7.171,75,1535694583,2,jc,0,0,0,0,5B88D6F7-B7FD07AB-412146D4-8F9-92C
110,111,6,leeoan123,2018-08-31 13:49:32,菲律宾人也玩帽子戏法[嘻嘻],陕西西安,124.115.231.26,14,1535694572,4,jc,0,0,0,0,5B88D6ED-7C73E71A-55DCFC46-8F9-8E4
111,112,6,用户5661848608,2018-08-31 13:47:26,坐滩？？？必须警惕！,广东惠州,125.93.54.237,10,1535694446,19,jc,0,0,0,0,5B88D66E-7D5D36ED-15178F420-8F9-8F6
